01/01 | Takashi Sugiura (C) vs. Masato Tanaka for the ZERO1 World Heavyweight Title - ZERO1 Happy New Year (4 MOTY votes)
01/04 | Hyper Misao vs. Shoko Nakajima in a Save the Tiger Match - TJPW '22 (4+ MOTY votes)
01/04 | DayDream (Miu Watanabe and Rika Tatsumi) vs. Kamiyu and Kakuta Nao - TJPW '22
01/04 | Yuka Sakazaki vs. Yuki Arai - TJPW '22
01/04 | Hikari Noa (C) vs. Maki Itoh for the International Princess Championship - TJPW '22
01/04 | Dangerous Tekkers (C) vs. Hirooki Goto & YOSHI-HASHI for the IWGP Tag Titles - NJPW Wrestle Kingdom 16 Night 1
01/04 | El Desperado (C) vs. Hiromu Takahashi for the IWGP Jr. Heavyweight Title - NJPW Wrestle Kingdom 16 Night 1
01/05 | Robbie Eagles and Tiger Mask (C) vs. The Mega Coaches vs. El Phantasmo & Taiji Ishimori for the IWGP Jr. Heavyweight Tag Titles - NJPW Wrestle Kingdom 16 Night 2 
01/05 | Mayu Iwatani & Starlight Kid vs. Tam Nakano & Saya Kamitani - NJPW Wrestle Kingdom 16 Night 2 (4 MOTY votes)
01/05 | Minoru Suzuki vs. CIMA vs. YTR vs. Chase Owens for the Provisional 2022 KOPW Title - NJPW Wrestle Kingdom 16 Night 2
01/05 | Tetsuya Naito vs. Jeff Cobb - NJPW Wrestle Kingdom 16 Night 2 (4 MOTY votes)
01/05 | Lucha Bros (C) vs. Jurassic Express for the AEW World Tag Team Titles - AEW Dynamite
01/06 | ERE (Takayuki Ueki & Toshiyuki Sakuda) (C) vs. Tomoya Hirata & Toru Sugiura for the King of FREEDOM Tag Team Titles - FREEDOMS Blood Xmas (4+ MOTY votes)
01/06 | Violento Jack (C) vs. Jun Kasai for the King of FREEDOM World Title - FREEDOMS Blood Xmas (4+ MOTY votes)
01/07 | Adam Cole vs. Jake Atlas - AEW Rampage
01/07 | Dr. Britt Baker DMD & Jamie Hayter vs. Riho & Ruby Solo - AEW Rampage
01/07 | 2.0 & Daniel Garcia vs. Proud 'n' Powerful & Eddie Kingston in a Street Fight - AEW Rampage
01/08 | Dr. Britt Baker DMD (C) vs. Riho for the AEW Women's Title - AEW Battle of the Belts
01/08 | Eddie Kingston vs. Gabriel Kidd - New Japan Strong
01/08 | Jonathan Gresham (C) vs. Chris Sabin for the ROH World Title - Impact Hard to Kill (4 MOTY votes)
01/12 | Sammy Guevara vs. Daniel Garcia - AEW Dynamite
01/14 | Adam Cole vs. Trent? - AEW Rampage
01/14 | Kris Statlander, Leyla Hirsch & Red Velvet vs. Nyla Rose, Penelope Ford & The Bunny - AEW Rampage
01/16 | Katsuhiko Nakajima (C) vs. Masa Kitamiya for the GHC Heavyweight Title - NOAH Bumper Crop (4+ MOTY votes)
01/19 | Orange Cassidy & Kris Statlander vs. Adam Cole & Dr Britt Baker DMD - AEW Dynamite
01/19 | Sting & Darby Allin vs. The Acclaimed - AEW Dynamite
01/21 | Jon Moxley vs. All Ego Ethan Page - AEW Rampage
01/21 | Nick Jackson vs. Trent? - AEW Rampage
01/21 | HOOK vs. Serpentico - AEW Dynamite (4 MOTY votes)
01/21 | Jade Cargill (C) vs. Anna Jay for the TBS Championship - AEW Rampage
01/25 | Penta El Zero M vs. Wheeler Yuta - AEW Dark
01/26 | Orange Cassidy vs. Adam Cole in a Lights Out Match - AEW Dynamite Beach Break
01/28 | Jon Moxley vs. Anthony Bowens - AEW Rampage
01/28 | Jurassic Express (C) vs. Private Party for the AEW Tag Team Titles - AEW Rampage
01/29 | Will Ospreay vs. Michael Oku - RevPro High Stakes (4+ MOTY votes)
01/29 | Giulia vs. Mayu Iwatani - Stardom 11th Anniversary Nagoya Supreme Fight (4 MOTY votes)
01/29 | Syuri vs MIRAI for the World Of Stardom Title - Stardom 11th Anniversary Nagoya Supreme Fight (4+ MOTY votes)
02/02 | PAC & Penta El Zero M vs. The Kings of the Black Throne - AEW Dynamite
02/04 | Sammy Guevara (C) vs. Isiah Kassidy for the TNT Championship - AEW Rampage
02/04 | Ricky Starks (C) vs. Jay Lethal for the FTW Championship - AEW Rampage
02/09 | Jade Cargill (C) vs. AQA for the TBS Title - AEW Dynamite
02/11 | Jurassic Express (C) vs. The Ass Boys for the AEW Tag Team Titles - AEW Rampage 
02/11 | DayDream (Miu Watanabe and Rika Tatsumi) vs. Bakuretsu Sisters in the Max Heart Tournament Grand Final - TJPW Positive Chain (4 MOTY votes)
02/12 | Athena vs. Thunder Rosa - Warrior Wrestling (4 MOTY votes)
02/16 | Chris Jericho & Jake Hager vs. Proud 'n' Powerful - AEW Dynamite
02/16 | Thunder Rosa vs. Mercedes Martinez in a No Disqualification Match - AEW Dynamite
02/18 | 10 vs. Adam Cole - AEW Rampage
02/18 | Dante Martin vs. Powerhouse Hobbs - AEW Rampage
02/19 | Jake Something vs. Ace Austin vs. Chris Bey vs. Speedball Mike Bailey - Impact No Surrender (4 MOTY votes)
02/23 | Starlight Kid (C) vs. AZM - Stardom Cinderella Journey in Nagaoka (4+ MOTY votes)
02/23 | Bryan Danielson vs. Daniel Garcia - AEW Dynamite
02/25 | Sammy Guevara (C) vs. Andrade El Idolo for the TNT Championship - AEW Rampage
02/25 | Orange Cassidy vs. Anthony Bowens - AEW Rampage
02/26 | Best Bros (C) vs. CDK for the Asia Dream Tag Championship - Gatoh Move ChocoPro (4 MOTY votes)
03/01 | Suzuki-Gun (Despy, Kanemaru & DOUKI) vs. STRONGHEARTS (CIMA, T-Hawk & El Lindaman - NJPW 50th Anniversary Event
03/02 | Bryan Danielson vs. Christopher Daniels - AEW Dynamite
03/02 | Tag Team Elimination Battle Royale - AEW Dynamite
03/02 | Hangman Adam Page, Alex Reynolds & John Silver vs. Adam Cole & ReDragon - AEW Dynamite
03/04 | Christian Cage vs. All Ego Ethan Page - AEW Rampage
03/06 | Kris Statlander vs. Leyla Hirsch - AEW Revolution
03/06 | HOOK vs. QT Marshall - AEW Revolution
03/06 | Jade Cargill (C) vs. Tay Conti for the TBS Title - AEW Revolution
03/09 | Hangman Adam Page (C) vs. Dante Martin for the AEW Championship - AEW Dynamite
03/09 | Sammy Guevara (C) vs. Scorpio Sky for the TNT Championship - AEW Dynamite
03/11 | Jamie Hayter vs. Mercedes Martinez - AEW Rampage
03/11 | Swerve Strickland vs. Tony Nese - AEW Rampage
03/12 | Zack Sabre Jr. vs. DOUKI - NJPW New Japan Cup (4 MOTY votes)
03/14 | CIMA vs. Hirooki Goto - NJPW New Japan Cup
03/16 | Adam Cole & ReDragon vs. Hangman Adam Page & The Jurassic Express - AEW Dynamite St Patrick's Day Slam
03/16 | Bryan Danielson & Jon Moxley vs. Chuck Taylor & Wheeler Yuta - AEW Dynamite St. Patrick's Day Slam
03/18 | Darby Allin vs. The Butcher - AEW Rampage
03/19 | Juria Nagano & Moka Miyamoto vs. Suzume & Arisu Endo) - TJPW Grand Princess
03/19 | ASUKA vs. Kamiyu - TJPW Grand Princess
03/19 | Nodoka Tenma vs. Yuki Aino - TJPW Grand Princess
03/19 | Hikari Noa vs. Hikaru Shida - TJPW Grand Princess
03/20 | Daisuke Sasaki (C) vs. Jun Kasai vs. MAO for the DDT Universal Championship - DDT Judgement (4+ MOTY votes)
03/20 | DisasterBox (HARASHIMA & Naomi Yoshimura) (C) vs. CDK (Chris Brookes & Masahiro Takanashi) for the KO-D Tag Team Championships - DDT Judgement (4+ MOTY votes)
03/21 | Hiromu Takahashi vs. Shingo Takagi - NJPW New Japan Cup
03/23 | CM Punk vs. Dax Harwood - AEW Dynamite
03/25 | Ricky Starks vs. Shane Strickland - AEW Rampage
03/27 | #STRONGHEARTS & Tatsumi Fujinami vs. Okada, Tanahashi, Satoshi Kojima & Tiger Mask - NJPW New Japan Cup
03/30 | CM Punk vs. Max Caster - AEW Dynamite 
03/30 | Jon Moxley vs. Jay Lethal - AEW Dynamite 
03/30 | The Bunny vs. Toni Storm - AEW Dynamite
03/30 | Andrade El Idolo vs. Darby Allin - AEW Dynamite
03/31 | Bandido vs. Speedball Mike Bailey - Wrestlecon Mark Hitchcock Memorial Show (4+ MOTY votes)
03/31 | Jon Moxley vs. Biff Busick - GCW Bloodsport (4+ MOTY votes)
04/01 | Swerve Strickland vs. Alex Zayne - ROH Supercard of Honor
04/01 | Jay Lethal vs. Lee Moriarty - ROH Supercard of Honor
04/01 | Josh Woods (C) vs. Wheeler Yuta for the ROH Pure TItle - ROH Supercard of Honor
04/01 | Young Bucks vs. Top Flight - AEW Rampage
04/01 | Keith Lee vs. Powerhouse Hobbs - AEW Rampage
04/02 | Seth Rollins vs. Cody Rhodes - WWE Wrestlemania Night 1
04/03 | Johnny Knoxville vs. Sami Zayn - WWE Wrestlemania Night 2 (4+ MOTY votes)
04/06 | Adam Cole vs. Christian Cage - AEW Dynamite
04/07 | K-ness & Susumu Yokosuka vs. Dragon Kid & Kzy - Dragongate K-ness Final Burst Out! K-nee Forever (4 MOTY votes)
04/08 | Bryan Danielson vs. Trent? - AEW Rampage
04/09 | Magical Sugar Rabbits vs. Daisy Monkey (Endo & Suzume) - TJPW Still Incomplete (4 MOTY Votes)
04/09 | LIJ (Naito & Shingo) vs. United Empire (Ospreay/Henare) - NJPW Hyper Battle
04/09 | Hirooki Goto & YOSHI-HASHI (C) vs. United Empire (Cobb & O-Khan) for the IWGP Heavyweight Tag Titles - NJPW Hyper Battle
04/09 | El Desperado (C) vs. SHO for the IWGP Junior Heavyweight Championship - NJPW Hyper Battle
04/13 | CM Punk vs. Penta Oscuro - AEW Dynamite
04/13 | MJF vs. The Captain Shawn Dean - AEW Dynamite (4 MOTY votes)
04/13 | Ricky Starks & Powerhouse Hobbs vs. Swerve & Keith Lee - AEW Dynamite
04/15 | Blackpool Combat Club vs. The Gunn Club - AEW Rampage
04/16 | Scorpio Sky (C) vs. Sammy Guevara for the TNT Championship - AEW Battle of the Belts
04/16 | Jonathan Gresham (C) vs. Dalton Castle for the ROH World Title - AEW Battle of the Belts
04/16 | Thunder Rosa (C) vs. Nyla Rose for the AEW Women's Championship - AEW Battle of the Belts
04/16 | Will Ospreay vs. Jon Moxley - NJPW Windy City Riot
04/20 | CM Punk vs. Dustin Rhodes - AEW Dynamite
04/20 | Blackpool Combat Club vs. Dante Martin, Lee Moriarty & Brock Anderson - AEW Dynamite
04/20 | Jungle Boy vs. Kyle O'Reilly - AEW Dynamite
04/20 | Darby Allin vs. Andrade El Idolo in a Coffin Match - AEW Dynamite
04/22 | Tomohiro Ishii vs. Adam Cole - AEW Rampage
04/22 | Eddie Kingston vs. Daniel Garcia - AEW Rampage
04/23 | Speedball Mike Bailey vs. Trey Miguel vs. Ace Austin for the X Division Championship - Impact Rebellion (4+ MOTY votes)
04/23 | Moose (C) vs. Josh Alexander for the Impact World Championship - Impact Rebellion (4+ MOTY votes)
04/24 | Risa Sera vs. Takashi Sakaski - Prominence Flag-Off Event ~ Scarlet Flame of the Beginning ~ (4+ MOTY votes)
04/24 | Suzu Suzuki & Jun Kasai vs. Akane Fujita & Violent Jack - Prominence Flag-Off Event ~ Scarlet Flame of the Beginning ~ (4+ MOTY votes)
04/25 | Taichi (C) vs. Shingo Takagi in a First to 30 Pin Counts Match for the KOPW Provisional Trophy - NJPW Golden Fight Series (4+ MOTY votes)
04/27 | Dax Harwood vs. Cash Wheeler - AEW Dynamite
04/27 | WARDLOW vs. Lance Archer - AEW Dynamite
04/27 | Serena Deeb vs. Hikaru Shida in a Philadelphia Street Fight - AEW Dynamite
04/29 | Arisa Nakajima vs. Tsukasa Fujimoto - SEAdLINNNG Golden Moment (4 MOTY votes)
04/29 | Las Fresas de Egoistas (C) vs. Yoshiko & Ryo Mizunami for the Beyond the SEA Tag Team Championship - SEAdLINNNG Goldem Moment (4+ MOTY votes)
04/30 | Kaito Kiyomiya vs. Go Shiozaki for the GHC Heavyweight Championship - NOAH Majestic (4 MOTY votes)
05/01 | EVIL (C) vs. Tama Tonga for the NEVER Openweight Championship - NJPW Dontaku
05/01 | El Desperado (C) vs. Taiji Ishimori for the IWGP Junior Heavyweight Championship - NJPW Dontaku
